s.no,timestamp,ax(g),ay(g),az(g),gx(dps),gy(dps),gz(dps)
1,2026-03-08_08:41:55.744,-1.017297,-0.061732,0.000305,1.155,-1.82875,-0.88375
2,2026-03-08_08:41:55.846,-1.009855,-0.063196,0.000793,1.16375,-1.61875,-0.875
3,2026-03-08_08:41:55.947,-1.014491,-0.060878,0.002074,1.19875,-1.74125,-0.88375
4,2026-03-08_08:41:56.048,-1.014064,-0.060573,-0.00183,0.95375,-1.75875,-0.88375
5,2026-03-08_08:41:56.149,-1.015955,-0.06283,0.000122,1.09375,-1.72375,-0.91
6,2026-03-08_08:41:56.250,-1.007537,-0.060024,-0.000793,1.1375,-1.77625,-1.015
7,2026-03-08_08:41:56.351,-1.013149,-0.061122,0.000915,1.04125,-1.74125,-0.95375
8,2026-03-08_08:41:56.452,-1.014125,-0.060146,0.000244,1.12875,-1.7325,-0.91
9,2026-03-08_08:41:56.553,-1.013393,-0.062708,0.002623,1.14625,-1.785,-0.9275
10,2026-03-08_08:41:56.654,-1.014979,-0.063074,0.001464,1.14625,-1.74125,-0.90125
11,2026-03-08_08:41:56.756,-1.015955,-0.05978,0.003599,1.0325,-1.75875,-0.88375
12,2026-03-08_08:41:56.857,-1.013088,-0.063867,0.00122,1.19,-1.7325,-0.91
13,2026-03-08_08:41:56.957,-1.016626,-0.058499,-0.00061,1.12875,-1.8025,-0.91
14,2026-03-08_08:41:57.058,-1.015467,-0.062281,0.000488,1.0675,-1.82875,-0.91
15,2026-03-08_08:41:57.159,-1.01382,-0.060512,0.003416,1.12875,-1.8025,-0.8225
16,2026-03-08_08:41:57.261,-1.015162,-0.060939,0.000915,1.19,-1.65375,-0.91
17,2026-03-08_08:41:57.363,-1.011807,-0.063562,0.000305,1.19,-1.6625,-0.81375
18,2026-03-08_08:41:57.465,-1.015101,-0.061,0.000061,1.09375,-1.82,-0.81375
19,2026-03-08_08:41:57.567,-1.015955,-0.060573,0.002318,1.0675,-1.89875,-0.93625
20,2026-03-08_08:41:57.669,-1.013027,-0.061427,0.003111,1.015,-1.86375,-0.90125
21,2026-03-08_08:41:57.772,-1.017602,-0.060878,0.001037,1.02375,-1.82875,-0.90125
22,2026-03-08_08:41:57.873,-1.012356,-0.059536,-0.001952,0.90125,-1.75,-0.875
23,2026-03-08_08:41:57.974,-0.997533,-0.06222,0.034709,1.07625,-1.6975,-0.7175
24,2026-03-08_08:41:58.076,-1.013942,-0.058804,-0.006588,1.2425,-1.84625,-0.95375
25,2026-03-08_08:41:58.178,-1.017053,-0.061183,-0.006161,0.84,-1.79375,-0.90125
26,2026-03-08_08:41:58.280,-1.011502,-0.060451,0.001464,1.1025,-1.8375,-0.91875
27,2026-03-08_08:41:58.381,-0.878034,-0.02928,0.058743,0.6825,-2.03,-2.7475
28,2026-03-08_08:41:58.483,-1.039806,-0.067222,0.004453,1.26875,-1.295,-0.6825
29,2026-03-08_08:41:58.584,-0.948062,-0.063379,0.040565,1.54875,-1.91625,-1.575
30,2026-03-08_08:41:58.686,-1.002169,-0.058011,0.001403,1.4525,-1.95125,-0.84875
31,2026-03-08_08:41:58.788,-1.01626,-0.062403,0.007137,1.14625,-1.785,-0.98875
32,2026-03-08_08:41:58.891,-1.033035,-0.062891,-0.001891,0.91,-1.61,-0.7
33,2026-03-08_08:41:58.993,-1.01016,-0.058804,0.004453,1.085,-1.88125,-0.95375
34,2026-03-08_08:41:59.095,-1.008147,-0.061183,0.009333,0.91,-1.89,-0.9975
35,2026-03-08_08:41:59.198,-1.014369,-0.063867,0.002257,1.14625,-1.6625,-0.9275
36,2026-03-08_08:41:59.299,-1.015711,-0.059719,-0.001464,1.12875,-1.75875,-0.9275
37,2026-03-08_08:41:59.400,-0.994666,-0.058621,0.010492,1.155,-1.9075,-0.875
38,2026-03-08_08:41:59.502,-1.016077,-0.063501,0.006344,1.2775,-1.75,-0.91
39,2026-03-08_08:41:59.604,-1.012112,-0.062098,-0.001281,1.1725,-1.79375,-0.93625
40,2026-03-08_08:41:59.707,-1.013454,-0.060329,-0.001952,0.9275,-1.89,-0.88375
41,2026-03-08_08:41:59.811,-1.016443,-0.065087,0.002745,1.19875,-1.79375,-0.90125
42,2026-03-08_08:41:59.913,-1.010648,-0.058194,0.005795,1.04125,-1.7325,-0.8925
43,2026-03-08_08:42:00.015,-1.016626,-0.061976,-0.002501,1.2425,-1.4875,-0.9275
44,2026-03-08_08:42:00.116,-1.018395,-0.060939,-0.004514,1.0675,-1.74125,-0.8925
45,2026-03-08_08:42:00.218,-1.009794,-0.063013,0.004392,1.07625,-1.8375,-0.875
46,2026-03-08_08:42:00.320,-1.015589,-0.057767,-0.004148,1.16375,-1.7675,-0.9625
47,2026-03-08_08:42:00.422,-1.013454,-0.061854,-0.001342,1.1025,-1.75875,-0.9975
48,2026-03-08_08:42:00.524,-1.0126,-0.063745,0.001098,1.09375,-1.79375,-0.8925
49,2026-03-08_08:42:00.627,-1.012539,-0.058499,0.001586,0.945,-1.68,-0.945
50,2026-03-08_08:42:00.731,-1.018395,-0.063684,-0.003172,1.085,-1.74125,-0.88375
51,2026-03-08_08:42:00.833,-1.013393,-0.061488,-0.000793,1.14625,-1.7675,-0.84
52,2026-03-08_08:42:00.935,-1.009794,-0.059597,0.003233,1.04125,-1.6625,-0.8575
53,2026-03-08_08:42:01.036,-1.019371,-0.060024,0.00244,1.12,-1.6625,-0.98875
54,2026-03-08_08:42:01.138,-1.01382,-0.062037,0.000732,1.09375,-1.65375,-0.91875
55,2026-03-08_08:42:01.240,-1.017846,-0.063928,0.003294,1.05,-1.8025,-0.84875
56,2026-03-08_08:42:01.342,-1.019981,-0.045445,0.011956,1.295,-1.95125,-0.91875
57,2026-03-08_08:42:01.444,-1.010038,-0.072285,0.008174,1.12,-1.575,-0.98875
58,2026-03-08_08:42:01.546,-1.028033,-0.029707,-0.005124,0.86625,-1.88125,-0.945
59,2026-03-08_08:42:01.647,-0.989847,-0.075396,0.026718,1.75,-1.86375,-0.6475
60,2026-03-08_08:42:01.750,-1.038403,-0.045811,-0.017995,0.81375,-1.645,-1.1375
61,2026-03-08_08:42:01.852,-1.036756,-0.00793,-0.013725,1.07625,-1.89,-0.88375
62,2026-03-08_08:42:01.954,-1.007476,-0.021838,-0.01952,0.2625,-1.88125,-1.07625
63,2026-03-08_08:42:02.056,-1.057923,-0.02074,0.00671,0.0175,-1.98625,-1.0675
64,2026-03-08_08:42:02.158,-1.040965,0.025498,-0.021411,0.28,-2.03,-0.88375
65,2026-03-08_08:42:02.260,-0.968741,-0.078141,0.002928,1.61875,-1.65375,-0.8925
66,2026-03-08_08:42:02.362,-1.016443,-0.073139,-0.02501,0.9275,-1.86375,-0.83125
67,2026-03-08_08:42:02.464,-1.017846,-0.074054,-0.004148,1.05,-1.82,-0.98875
68,2026-03-08_08:42:02.566,-1.003023,-0.061793,0.002806,1.085,-1.67125,-0.86625
69,2026-03-08_08:42:02.668,-1.015528,-0.055876,0.007747,1.63625,-1.72375,-0.91
70,2026-03-08_08:42:02.769,-1.025776,-0.043554,0.002013,0.93625,-1.6975,-0.7875
71,2026-03-08_08:42:02.871,-1.013149,-0.06649,0.009882,1.19,-1.79375,-0.9625
72,2026-03-08_08:42:02.973,-1.01809,-0.060024,0.002928,1.30375,-1.60125,-0.7175
73,2026-03-08_08:42:03.074,-1.012539,-0.071492,0.001769,1.2425,-1.61875,-0.86625
74,2026-03-08_08:42:03.175,-1.014552,-0.059292,-0.005246,1.09375,-1.89875,-0.9275
75,2026-03-08_08:42:03.277,-1.009306,-0.061732,0.003538,1.12875,-1.855,-0.97125
76,2026-03-08_08:42:03.380,-1.008513,-0.056547,0.006832,1.26875,-1.7325,-0.8925
77,2026-03-08_08:42:03.482,-1.002901,-0.057645,-0.005734,1.26,-1.785,-0.805
78,2026-03-08_08:42:03.584,-1.011136,-0.051911,-0.009272,0.83125,-1.75875,-0.98875
79,2026-03-08_08:42:03.686,-1.015223,-0.060146,-0.004331,0.90125,-1.75875,-1.015
80,2026-03-08_08:42:03.788,-1.014369,-0.066124,0.007137,0.98875,-1.6275,-0.90125
81,2026-03-08_08:42:03.890,-1.019981,-0.069601,0.015555,1.1725,-1.82,-0.84
82,2026-03-08_08:42:03.992,-1.012722,-0.054351,0.001647,1.2775,-1.7675,-1.015
83,2026-03-08_08:42:04.093,-1.008086,-0.058316,-0.004941,1.19,-1.86375,-0.9975
84,2026-03-08_08:42:04.195,-1.01748,-0.054595,-0.009455,0.9275,-1.72375,-0.875
85,2026-03-08_08:42:04.297,-1.021628,-0.0671,0.007564,0.9975,-1.96,-0.91
86,2026-03-08_08:42:04.400,-1.014247,-0.06222,0.008479,1.11125,-1.8375,-0.84
87,2026-03-08_08:42:04.502,-1.017419,-0.069418,0.00854,1.18125,-1.7675,-0.9275
88,2026-03-08_08:42:04.604,-1.017602,-0.065331,0.014762,1.1375,-1.67125,-0.74375
89,2026-03-08_08:42:04.706,-1.01016,-0.059475,0.003843,1.00625,-1.8375,-0.8925
90,2026-03-08_08:42:04.807,-1.021811,-0.064416,-0.000122,1.12875,-1.84625,-0.88375
91,2026-03-08_08:42:04.909,-1.006317,-0.062281,-0.002135,1.54875,-1.645,-0.81375
92,2026-03-08_08:42:05.011,-1.012539,-0.056364,-0.004087,1.04125,-1.715,-0.90125
93,2026-03-08_08:42:05.113,-1.01687,-0.058926,-0.00427,1.28625,-1.715,-0.8925
94,2026-03-08_08:42:05.214,-1.005463,-0.059475,-0.002928,1.1375,-1.70625,-0.9625
95,2026-03-08_08:42:05.316,-1.020896,-0.062525,-0.005612,0.875,-1.65375,-0.97125
96,2026-03-08_08:42:05.418,-1.0126,-0.061671,-0.008357,0.9625,-1.84625,-0.84
97,2026-03-08_08:42:05.521,-1.01077,-0.055388,0.001769,0.77875,-1.81125,-1.02375
98,2026-03-08_08:42:05.623,-1.005707,-0.06649,0.005551,1.05875,-1.82,-0.9975
99,2026-03-08_08:42:05.725,-1.018517,-0.062647,0.006466,1.12,-1.8725,-0.90125
100,2026-03-08_08:42:05.827,-1.022055,-0.064233,0.008723,1.00625,-1.785,-0.9275
